query	subject
KH.C11.407	KY21.Chr1.146
KH.L144.11	KY21.Chr1.147
KH.L144.1	KY21.Chr1.148
KH.L144.16	KY21.Chr1.150
KH.C1.816	KY21.Chr1.151
KH.C1.512	KY21.Chr1.152
KH.C1.1064	KY21.Chr1.155
KH.C1.1094	KY21.Chr1.156
KH.C1.421	KY21.Chr1.157
KH.C1.331	KY21.Chr1.158
KH.C1.1000	KY21.Chr1.159
KH.C1.666	KY21.Chr1.160
KH.C1.588	KY21.Chr1.161
KH.C1.922	KY21.Chr1.162
KH.C1.193	KY21.Chr1.163
KH.C1.10	KY21.Chr1.164
KH.C1.487	KY21.Chr1.165
KH.C1.927	KY21.Chr1.168
KH.C1.376	KY21.Chr1.169
KH.C1.912	KY21.Chr1.171
KH.C1.539	KY21.Chr1.172
KH.C1.584	KY21.Chr1.173
KH.C1.352	KY21.Chr1.174
KH.C1.245	KY21.Chr1.175
KH.C1.96	KY21.Chr1.176
KH.C1.359	KY21.Chr1.177
KH.C1.596	KY21.Chr1.178
KH.C1.866	KY21.Chr1.179
KH.C1.858	KY21.Chr1.180
KH.C1.234	KY21.Chr1.181
KH.C1.1155	KY21.Chr1.182
KH.C1.240	KY21.Chr1.183
KH.C1.177	KY21.Chr1.184
KH.C1.326	KY21.Chr1.185
KH.C1.383	KY21.Chr1.186
KH.C1.566	KY21.Chr1.187
KH.C1.404	KY21.Chr1.188
KH.C1.1083	KY21.Chr1.189
KH.C1.1295	KY21.Chr1.190
KH.C1.1067	KY21.Chr1.191
KH.C1.405	KY21.Chr1.192
KH.C1.577	KY21.Chr1.192
KH.C1.842	KY21.Chr1.193
KH.C1.476	KY21.Chr1.194
KH.C1.823	KY21.Chr1.195
KH.C1.355	KY21.Chr1.196
KH.C1.1027	KY21.Chr1.197
KH.C1.970	KY21.Chr1.198
KH.C1.140	KY21.Chr1.199
KH.C1.1062	KY21.Chr1.200
KH.C1.1274	KY21.Chr1.201
KH.C1.928	KY21.Chr1.202
KH.C1.538	KY21.Chr1.203
KH.C1.875	KY21.Chr1.204
KH.C1.1120	KY21.Chr1.205
KH.C1.388	KY21.Chr1.206
KH.C1.195	KY21.Chr1.207
KH.C1.797	KY21.Chr1.208
KH.C1.603	KY21.Chr1.209
KH.C1.483	KY21.Chr1.211
KH.C1.1188	KY21.Chr1.212
KH.C1.1170	KY21.Chr1.213
KH.C1.445	KY21.Chr1.214
KH.C1.98	KY21.Chr1.215
KH.C1.779	KY21.Chr1.216
KH.C1.515	KY21.Chr1.217
KH.C1.414	KY21.Chr1.219
KH.C1.879	KY21.Chr1.220
KH.C1.1287	KY21.Chr1.221
KH.C1.667	KY21.Chr1.222
KH.C1.553	KY21.Chr1.223
KH.C1.470	KY21.Chr1.224
KH.C1.101	KY21.Chr1.225
KH.C1.82	KY21.Chr1.226
KH.C1.246	KY21.Chr1.227
KH.C1.59	KY21.Chr1.228
KH.C1.933	KY21.Chr1.229
KH.C1.983	KY21.Chr1.230
KH.C1.535	KY21.Chr1.233
KH.C1.1221	KY21.Chr1.234
KH.C1.936	KY21.Chr1.235
KH.C1.191	KY21.Chr1.236
KH.C1.68	KY21.Chr1.237
KH.C1.309	KY21.Chr1.238
KH.C1.199	KY21.Chr1.239
KH.C1.991	KY21.Chr1.240
KH.C1.449	KY21.Chr1.241
KH.C1.317	KY21.Chr1.242
KH.C1.1152	KY21.Chr1.244
KH.C1.863	KY21.Chr1.245
KH.C1.1284	KY21.Chr1.246
KH.C1.787	KY21.Chr1.247
KH.C1.677	KY21.Chr1.248
KH.C1.1081	KY21.Chr1.249
KH.C1.63	KY21.Chr1.250
KH.C1.1122	KY21.Chr1.251
KH.C1.1158	KY21.Chr1.252
KH.C1.99	KY21.Chr1.254
KH.C1.1053	KY21.Chr1.255
KH.C1.89	KY21.Chr1.256
KH.C1.633	KY21.Chr1.257
KH.C1.4	KY21.Chr1.258
KH.C1.898	KY21.Chr1.259
KH.C1.628	KY21.Chr1.260
KH.C1.884	KY21.Chr1.261
KH.C1.484	KY21.Chr1.262
KH.C1.574	KY21.Chr1.263
KH.C1.733	KY21.Chr1.264
KH.C1.100	KY21.Chr1.265
KH.C1.1279	KY21.Chr1.266
KH.C1.1268	KY21.Chr1.267
KH.C1.1192	KY21.Chr1.270
KH.C1.187	KY21.Chr1.271
KH.C1.546	KY21.Chr1.272
KH.C1.128	KY21.Chr1.273
KH.C1.1012	KY21.Chr1.274
KH.C1.1109	KY21.Chr1.275
KH.C1.158	KY21.Chr1.276
KH.C1.805	KY21.Chr1.278
KH.C1.749	KY21.Chr1.279
KH.C1.481	KY21.Chr1.280
KH.C1.1014	KY21.Chr1.282
KH.C1.540	KY21.Chr1.283
KH.C1.637	KY21.Chr1.284
KH.C1.867	KY21.Chr1.285
KH.C1.119	KY21.Chr1.286
KH.C1.746	KY21.Chr1.287
KH.C1.220	KY21.Chr1.288
KH.C1.670	KY21.Chr1.289
KH.C1.832	KY21.Chr1.290
KH.C1.1276	KY21.Chr1.291
KH.C1.1157	KY21.Chr1.293
KH.C1.285	KY21.Chr1.294
KH.C1.583	KY21.Chr1.295
KH.C1.1045	KY21.Chr1.296
KH.C1.1275	KY21.Chr1.298
KH.C1.1224	KY21.Chr1.299
KH.C1.146	KY21.Chr1.301
KH.C1.1075	KY21.Chr1.302
KH.C1.913	KY21.Chr1.303
KH.C1.993	KY21.Chr1.304
KH.C1.47	KY21.Chr1.305
KH.C1.1302	KY21.Chr1.306
KH.C1.411	KY21.Chr1.307
KH.C1.124	KY21.Chr1.308
KH.C1.178	KY21.Chr1.309
KH.C1.1270	KY21.Chr1.311
KH.C1.1121	KY21.Chr1.313
KH.C1.147	KY21.Chr1.314
KH.C1.133	KY21.Chr1.317
KH.C1.252	KY21.Chr1.318
KH.C1.999	KY21.Chr1.319
KH.C1.142	KY21.Chr1.322
KH.C1.113	KY21.Chr1.326
KH.C1.1247	KY21.Chr1.328
KH.C1.308	KY21.Chr1.329
KH.C1.5	KY21.Chr1.330
KH.C1.272	KY21.Chr1.331
KH.C1.108	KY21.Chr1.332
KH.C1.563	KY21.Chr1.333
KH.C1.847	KY21.Chr1.334
KH.C1.25	KY21.Chr1.335
KH.C1.855	KY21.Chr1.336
KH.C1.891	KY21.Chr1.337
KH.C1.1028	KY21.Chr1.338
KH.C1.857	KY21.Chr1.339
KH.C1.1255	KY21.Chr1.340
KH.C1.475	KY21.Chr1.341
KH.C1.595	KY21.Chr1.342
KH.C1.1169	KY21.Chr1.345
KH.C1.729	KY21.Chr1.346
KH.C1.880	KY21.Chr1.347
KH.C1.1144	KY21.Chr1.348
KH.C1.1235	KY21.Chr1.349
KH.C1.550	KY21.Chr1.350
KH.C1.1138	KY21.Chr1.351
KH.C1.92	KY21.Chr1.353
KH.C1.48	KY21.Chr1.354
KH.C1.838	KY21.Chr1.356
KH.C1.605	KY21.Chr1.357
KH.C1.80	KY21.Chr1.358
KH.C1.1160	KY21.Chr1.359
KH.C1.597	KY21.Chr1.363
KH.C1.1139	KY21.Chr1.364
KH.C1.399	KY21.Chr1.365
KH.C1.310	KY21.Chr1.366
KH.C1.665	KY21.Chr1.370
KH.C9.761	KY21.Chr1.373
KH.L24.9	KY21.Chr1.374
KH.L24.19	KY21.Chr1.374
KH.L24.4	KY21.Chr1.375
KH.L24.37	KY21.Chr1.377
KH.L24.43	KY21.Chr1.377
KH.L4.7	KY21.Chr1.378
KH.S1235.1	KY21.Chr1.381
KH.L24.26	KY21.Chr1.382
KH.L24.25	KY21.Chr1.383
KH.L24.23	KY21.Chr1.384
KH.L24.34	KY21.Chr1.386
KH.L24.40	KY21.Chr1.387
KH.L24.41	KY21.Chr1.388
KH.L24.11	KY21.Chr1.390
KH.L24.7	KY21.Chr1.394
KH.L24.20	KY21.Chr1.395
KH.L24.38	KY21.Chr1.395
KH.L24.14	KY21.Chr1.396
KH.L24.24	KY21.Chr1.397
KH.L24.33	KY21.Chr1.397
KH.L24.30	KY21.Chr1.398
KH.L24.6	KY21.Chr1.399
KH.L24.8	KY21.Chr1.402
KH.L24.22	KY21.Chr1.403
KH.L24.3	KY21.Chr1.406
KH.L24.17	KY21.Chr1.407
KH.L24.12	KY21.Chr1.408
KH.L24.31	KY21.Chr1.409
KH.L24.13	KY21.Chr1.411
KH.L24.2	KY21.Chr1.416
KH.L24.16	KY21.Chr1.417
KH.L24.35	KY21.Chr1.418
KH.L24.39	KY21.Chr1.419
KH.L24.1	KY21.Chr1.420
KH.L24.10	KY21.Chr1.422
KH.L24.32	KY21.Chr1.423
KH.L24.29	KY21.Chr1.424
KH.L24.28	KY21.Chr1.425
KH.C1.915	KY21.Chr1.426
KH.S597.3	KY21.Chr1.427
KH.S597.4	KY21.Chr1.428
KH.S597.2	KY21.Chr1.429
KH.S597.5	KY21.Chr1.430
KH.S597.1	KY21.Chr1.431
KH.S1217.1	KY21.Chr1.432
KH.C1.1117	KY21.Chr1.433
KH.C1.1065	KY21.Chr1.434
KH.C1.1165	KY21.Chr1.435
KH.C1.635	KY21.Chr1.436
KH.C1.151	KY21.Chr1.437
KH.C1.1035	KY21.Chr1.438
KH.C1.357	KY21.Chr1.439
KH.C1.381	KY21.Chr1.441
KH.C1.33	KY21.Chr1.443
KH.C1.957	KY21.Chr1.444
KH.C1.1228	KY21.Chr1.445
KH.C1.1219	KY21.Chr1.447
KH.C1.265	KY21.Chr1.448
KH.C1.930	KY21.Chr1.449
KH.C1.226	KY21.Chr1.450
KH.C1.237	KY21.Chr1.451
KH.C1.1082	KY21.Chr1.452
KH.C1.149	KY21.Chr1.453
KH.C1.256	KY21.Chr1.454
KH.C1.1103	KY21.Chr1.455
KH.C1.542	KY21.Chr1.456
KH.C1.469	KY21.Chr1.457
KH.C1.724	KY21.Chr1.458
KH.C1.661	KY21.Chr1.459
KH.C1.629	KY21.Chr1.461
KH.C1.489	KY21.Chr1.462
KH.C1.1250	KY21.Chr1.463
KH.C1.486	KY21.Chr1.464
KH.C1.520	KY21.Chr1.465
KH.C1.543	KY21.Chr1.466
KH.C1.1248	KY21.Chr1.467
KH.C1.827	KY21.Chr1.468
KH.C1.379	KY21.Chr1.473
KH.C1.796	KY21.Chr1.474
KH.C1.657	KY21.Chr1.475
KH.C1.773	KY21.Chr1.476
KH.C1.575	KY21.Chr1.477
KH.C1.1091	KY21.Chr1.478
KH.C1.87	KY21.Chr1.479
KH.C1.162	KY21.Chr1.480
KH.C1.888	KY21.Chr1.481
KH.C1.548	KY21.Chr1.482
KH.C1.126	KY21.Chr1.483
KH.C1.865	KY21.Chr1.484
KH.C1.426	KY21.Chr1.485
KH.C1.1104	KY21.Chr1.487
KH.C1.424	KY21.Chr1.488
KH.C1.529	KY21.Chr1.489
KH.C1.844	KY21.Chr1.491
KH.C1.626	KY21.Chr1.492
KH.C1.1191	KY21.Chr1.493
KH.L12.5	KY21.Chr1.494
KH.L12.4	KY21.Chr1.495
KH.L12.2	KY21.Chr1.496
KH.L12.1	KY21.Chr1.497
KH.L12.3	KY21.Chr1.498
KH.C1.567	KY21.Chr1.499
KH.C1.921	KY21.Chr1.500
KH.C1.911	KY21.Chr1.501
KH.C1.843	KY21.Chr1.502
KH.C1.185	KY21.Chr1.503
KH.C1.218	KY21.Chr1.504
KH.C1.850	KY21.Chr1.505
KH.C1.494	KY21.Chr1.506
KH.C1.700	KY21.Chr1.507
KH.C1.590	KY21.Chr1.508
KH.C1.763	KY21.Chr1.509
KH.C1.554	KY21.Chr1.510
KH.C1.961	KY21.Chr1.511
KH.C1.868	KY21.Chr1.512
KH.C1.1132	KY21.Chr1.513
KH.C1.1146	KY21.Chr1.514
KH.C1.812	KY21.Chr1.515
KH.C1.955	KY21.Chr1.516
KH.C1.277	KY21.Chr1.518
KH.C1.901	KY21.Chr1.519
KH.C1.719	KY21.Chr1.520
KH.C1.893	KY21.Chr1.521
KH.C1.640	KY21.Chr1.522
KH.C1.1072	KY21.Chr1.524
KH.C1.820	KY21.Chr1.525
KH.C1.620	KY21.Chr1.526
KH.C1.412	KY21.Chr1.527
KH.C1.941	KY21.Chr1.529
KH.C1.650	KY21.Chr1.530
KH.C1.86	KY21.Chr1.531
KH.C1.1151	KY21.Chr1.533
KH.C1.296	KY21.Chr1.534
KH.C1.400	KY21.Chr1.536
KH.C1.1041	KY21.Chr1.537
KH.C1.1004	KY21.Chr1.539
KH.C1.324	KY21.Chr1.543
KH.C1.205	KY21.Chr1.545
KH.C1.845	KY21.Chr1.546
KH.C1.1002	KY21.Chr1.548
KH.C1.21	KY21.Chr1.553
KH.C1.604	KY21.Chr1.555
KH.C1.219	KY21.Chr1.557
KH.C1.415	KY21.Chr1.558
KH.C1.534	KY21.Chr1.559
KH.C1.115	KY21.Chr1.560
KH.C1.837	KY21.Chr1.561
KH.C1.751	KY21.Chr1.562
KH.C1.1125	KY21.Chr1.563
KH.C1.267	KY21.Chr1.564
KH.C1.968	KY21.Chr1.565
KH.C1.118	KY21.Chr1.566
KH.C8.248	KY21.Chr1.567
KH.C8.342	KY21.Chr1.568
KH.C8.541	KY21.Chr1.569
KH.C1.678	KY21.Chr1.576
KH.C1.1222	KY21.Chr1.577
KH.C1.67	KY21.Chr1.578
KH.C1.682	KY21.Chr1.579
KH.C1.1061	KY21.Chr1.580
KH.C1.676	KY21.Chr1.581
KH.C1.740	KY21.Chr1.582
KH.C1.1105	KY21.Chr1.583
KH.C1.555	KY21.Chr1.584
KH.C1.949	KY21.Chr1.585
KH.C1.1080	KY21.Chr1.586
KH.C1.872	KY21.Chr1.587
KH.C1.510	KY21.Chr1.588
KH.C1.1252	KY21.Chr1.589
KH.C1.446	KY21.Chr1.590
KH.C1.356	KY21.Chr1.591
KH.C1.1298	KY21.Chr1.593
KH.C1.923	KY21.Chr1.594
KH.C1.1251	KY21.Chr1.595
KH.C1.834	KY21.Chr1.596
KH.C1.425	KY21.Chr1.597
KH.C1.1230	KY21.Chr1.598
KH.C1.17	KY21.Chr1.599
KH.C1.1068	KY21.Chr1.600
KH.C1.306	KY21.Chr1.601
KH.C1.792	KY21.Chr1.602
KH.C1.934	KY21.Chr1.603
KH.C1.954	KY21.Chr1.605
KH.C1.925	KY21.Chr1.606
KH.C1.1	KY21.Chr1.607
KH.C1.81	KY21.Chr1.608
KH.C1.531	KY21.Chr1.609
KH.C1.621	KY21.Chr1.610
KH.C1.51	KY21.Chr1.611
KH.C1.156	KY21.Chr1.612
KH.C1.1182	KY21.Chr1.613
KH.C1.695	KY21.Chr1.614
KH.C1.1036	KY21.Chr1.615
KH.C1.953	KY21.Chr1.616
KH.C1.93	KY21.Chr1.617
KH.C1.755	KY21.Chr1.618
KH.C1.264	KY21.Chr1.619
KH.C1.906	KY21.Chr1.620
KH.C1.859	KY21.Chr1.621
KH.C1.143	KY21.Chr1.622
KH.C1.511	KY21.Chr1.623
KH.C1.284	KY21.Chr1.625
KH.C1.783	KY21.Chr1.626
KH.C1.513	KY21.Chr1.627
KH.C1.368	KY21.Chr1.628
KH.C1.1176	KY21.Chr1.629
KH.C1.1085	KY21.Chr1.630
KH.C1.71	KY21.Chr1.631
KH.C1.152	KY21.Chr1.632
KH.C1.300	KY21.Chr1.634
KH.C1.673	KY21.Chr1.636
KH.C1.817	KY21.Chr1.641
KH.C1.732	KY21.Chr1.644
KH.C1.1269	KY21.Chr1.645
KH.C1.1135	KY21.Chr1.647
KH.C1.1049	KY21.Chr1.649
KH.C1.282	KY21.Chr1.650
KH.S1827.1	KY21.Chr1.651
KH.C1.625	KY21.Chr1.654
KH.C1.680	KY21.Chr1.655
KH.C1.141	KY21.Chr1.656
KH.C1.557	KY21.Chr1.657
KH.C1.735	KY21.Chr1.657
KH.C14.71	KY21.Chr1.657
KH.C1.1024	KY21.Chr1.658
KH.C1.1118	KY21.Chr1.659
KH.C1.1171	KY21.Chr1.660
KH.C1.167	KY21.Chr1.661
KH.C1.198	KY21.Chr1.662
KH.C1.696	KY21.Chr1.663
KH.C1.429	KY21.Chr1.664
KH.C1.95	KY21.Chr1.666
KH.C1.658	KY21.Chr1.667
KH.C1.450	KY21.Chr1.668
KH.C1.492	KY21.Chr1.669
KH.C1.730	KY21.Chr1.670
KH.S986.1	KY21.Chr1.670
KH.C1.598	KY21.Chr1.672
KH.C1.691	KY21.Chr1.673
KH.C1.736	KY21.Chr1.674
KH.C1.373	KY21.Chr1.675
KH.C1.190	KY21.Chr1.676
KH.S2225.1	KY21.Chr1.676
KH.C1.186	KY21.Chr1.677
KH.C1.1033	KY21.Chr1.678
KH.C1.387	KY21.Chr1.679
KH.C1.737	KY21.Chr1.680
KH.C1.1010	KY21.Chr1.681
KH.C1.374	KY21.Chr1.683
KH.C1.818	KY21.Chr1.684
KH.C1.304	KY21.Chr1.689
KH.C1.313	KY21.Chr1.689
KH.L26.1	KY21.Chr1.691
KH.L26.2	KY21.Chr1.691
KH.S432.2	KY21.Chr1.692
KH.S432.4	KY21.Chr1.694
KH.S432.5	KY21.Chr1.695
KH.C1.717	KY21.Chr1.697
KH.C1.88	KY21.Chr1.699
KH.C1.943	KY21.Chr1.700
KH.C1.157	KY21.Chr1.701
KH.C1.649	KY21.Chr1.702
KH.C1.998	KY21.Chr1.703
KH.C1.1185	KY21.Chr1.704
KH.C1.14	KY21.Chr1.705
KH.C1.1299	KY21.Chr1.706
KH.C1.463	KY21.Chr1.707
KH.C1.8	KY21.Chr1.708
KH.C1.802	KY21.Chr1.709
KH.C1.617	KY21.Chr1.710
KH.C1.145	KY21.Chr1.715
KH.C1.382	KY21.Chr1.716
KH.C1.77	KY21.Chr1.717
KH.C1.527	KY21.Chr1.718
KH.C1.276	KY21.Chr1.719
KH.C1.994	KY21.Chr1.720
KH.C1.91	KY21.Chr1.722
KH.C1.1124	KY21.Chr1.723
KH.C1.870	KY21.Chr1.725
KH.C1.591	KY21.Chr1.726
KH.C1.471	KY21.Chr1.727
KH.C1.278	KY21.Chr1.728
KH.C1.1115	KY21.Chr1.729
KH.C1.648	KY21.Chr1.733
KH.C1.431	KY21.Chr1.734
KH.C1.1131	KY21.Chr1.735
KH.C1.1013	KY21.Chr1.736
KH.C1.392	KY21.Chr1.737
KH.C1.1249	KY21.Chr1.738
KH.C1.502	KY21.Chr1.739
KH.C1.134	KY21.Chr1.741
KH.C1.767	KY21.Chr1.742
KH.C1.908	KY21.Chr1.743
KH.C1.348	KY21.Chr1.744
KH.C1.905	KY21.Chr1.745
KH.C1.1108	KY21.Chr1.746
KH.C1.466	KY21.Chr1.747
KH.C1.104	KY21.Chr1.748
KH.C1.564	KY21.Chr1.751
KH.C1.514	KY21.Chr1.752
KH.C1.168	KY21.Chr1.753
KH.C1.1242	KY21.Chr1.754
KH.C1.66	KY21.Chr1.755
KH.C1.1040	KY21.Chr1.756
KH.C1.519	KY21.Chr1.757
KH.C1.871	KY21.Chr1.758
KH.C1.341	KY21.Chr1.759
KH.S999.3	KY21.Chr1.760
KH.S999.2	KY21.Chr1.761
KH.S999.1	KY21.Chr1.763
KH.S999.4	KY21.Chr1.764
KH.C1.971	KY21.Chr1.766
KH.C1.434	KY21.Chr1.768
KH.C1.97	KY21.Chr1.769
KH.C1.627	KY21.Chr1.770
KH.C1.1288	KY21.Chr1.771
KH.C1.1030	KY21.Chr1.772
KH.C1.1140	KY21.Chr1.773
KH.C1.1032	KY21.Chr1.774
KH.C1.532	KY21.Chr1.775
KH.C1.307	KY21.Chr1.776
KH.C1.1198	KY21.Chr1.777
KH.C1.397	KY21.Chr1.778
KH.C1.196	KY21.Chr1.779
KH.C1.1159	KY21.Chr1.780
KH.L101.10	KY21.Chr1.780
KH.C1.910	KY21.Chr1.781
KH.C1.824	KY21.Chr1.782
KH.C1.498	KY21.Chr1.783
KH.C1.389	KY21.Chr1.784
KH.S842.2	KY21.Chr1.785
KH.C1.1056	KY21.Chr1.787
KH.C1.131	KY21.Chr1.788
KH.C1.367	KY21.Chr1.789
KH.C1.725	KY21.Chr1.790
KH.C1.11	KY21.Chr1.791
KH.C1.508	KY21.Chr1.794
KH.S1740.2	KY21.Chr1.802
KH.S1202.1	KY21.Chr1.803
KH.S1740.1	KY21.Chr1.803
KH.S688.3	KY21.Chr1.805
KH.S688.1	KY21.Chr1.806
KH.S688.2	KY21.Chr1.807
KH.S688.4	KY21.Chr1.808
KH.S768.2	KY21.Chr1.809
KH.S575.1	KY21.Chr1.812
KH.S575.2	KY21.Chr1.814
KH.L146.2	KY21.Chr1.820
KH.L146.1	KY21.Chr1.821
KH.S1288.1	KY21.Chr1.828
KH.L146.3	KY21.Chr1.829
KH.S1288.2	KY21.Chr1.829
KH.L146.6	KY21.Chr1.830
KH.L146.4	KY21.Chr1.833
KH.L146.5	KY21.Chr1.834
KH.L171.13	KY21.Chr1.838
KH.L171.10	KY21.Chr1.839
KH.L171.24	KY21.Chr1.840
KH.L171.16	KY21.Chr1.841
KH.L171.23	KY21.Chr1.842
KH.L171.11	KY21.Chr1.843
KH.S1064.1	KY21.Chr1.846
KH.L171.14	KY21.Chr1.848
KH.L171.7	KY21.Chr1.849
KH.L171.17	KY21.Chr1.850
KH.L171.6	KY21.Chr1.851
KH.L171.15	KY21.Chr1.852
KH.L171.19	KY21.Chr1.854
KH.L171.4	KY21.Chr1.855
KH.L171.22	KY21.Chr1.856
KH.L171.1	KY21.Chr1.857
KH.L171.5	KY21.Chr1.859
KH.L171.18	KY21.Chr1.861
KH.L171.3	KY21.Chr1.862
KH.S610.1	KY21.Chr1.863
KH.S610.5	KY21.Chr1.865
KH.S610.4	KY21.Chr1.866
KH.S610.3	KY21.Chr1.868
KH.S610.6	KY21.Chr1.870
KH.S610.2	KY21.Chr1.871
KH.S702.3	KY21.Chr1.874
KH.S702.2	KY21.Chr1.875
KH.S702.1	KY21.Chr1.876
KH.S1524.1	KY21.Chr1.878
KH.S861.2	KY21.Chr1.879
KH.S861.3	KY21.Chr1.880
KH.S861.1	KY21.Chr1.881
KH.S389.2	KY21.Chr1.882
KH.S389.10	KY21.Chr1.883
KH.S389.5	KY21.Chr1.884
KH.S389.3	KY21.Chr1.885
KH.S389.4	KY21.Chr1.886
KH.S389.8	KY21.Chr1.887
KH.S389.6	KY21.Chr1.888
KH.S389.1	KY21.Chr1.889
KH.S389.9	KY21.Chr1.890
KH.L34.9	KY21.Chr1.891
KH.L34.22	KY21.Chr1.892
KH.L34.21	KY21.Chr1.893
KH.S1129.2	KY21.Chr1.895
KH.L34.3	KY21.Chr1.898
KH.S1129.1	KY21.Chr1.898
KH.L34.24	KY21.Chr1.899
KH.L34.13	KY21.Chr1.900
KH.L34.4	KY21.Chr1.901
KH.L34.16	KY21.Chr1.905
KH.L34.17	KY21.Chr1.906
KH.L34.19	KY21.Chr1.907
KH.L34.5	KY21.Chr1.908
KH.L34.25	KY21.Chr1.909
KH.L34.28	KY21.Chr1.910
KH.L34.23	KY21.Chr1.911
KH.L34.11	KY21.Chr1.912
KH.L34.2	KY21.Chr1.913
KH.L34.6	KY21.Chr1.914
KH.L34.14	KY21.Chr1.915
KH.L34.8	KY21.Chr1.916
KH.L34.12	KY21.Chr1.918
KH.L34.27	KY21.Chr1.920
KH.L34.1	KY21.Chr1.921
KH.L34.18	KY21.Chr1.922
KH.L34.20	KY21.Chr1.923
KH.L34.7	KY21.Chr1.924
KH.L34.29	KY21.Chr1.925
KH.L119.4	KY21.Chr1.934
KH.L119.3	KY21.Chr1.935
