KY2021,KH2012,KH2013,uniprot,fullname
KY21.Chr1.1035,KH.C1.334,KH.C1.334,O95786,Antiviral innate immune response receptor RIG-I {ECO:0000305}
KY21.Chr1.1037,KH.C1.340,KH.C1.340,P51512,Matrix metalloproteinase-16
KY21.Chr1.1038,KH.C1.602,KH.C1.602,P17213,Bactericidal permeability-increasing protein
KY21.Chr1.104,KH.C1.443,KH.C1.443,P15291,"Beta-1,4-galactosyltransferase 1 {ECO:0000305}"
KY21.Chr1.1040,KH.C1.417,KH.C1.417,Q96GX9,Methylthioribulose-1-phosphate dehydratase {ECO:0000255|HAMAP-Rule:MF_03116}
KY21.Chr1.1041,KH.C1.967,KH.C1.967,Q7Z3F1,Lysosomal cholesterol signaling protein {ECO:0000303|PubMed:36007018}
KY21.Chr1.1042,KH.C1.358,KH.C1.358,Q9Y371,Endophilin-B1
KY21.Chr1.1043,KH.C1.766,KH.C1.766,Q9P0M4,Interleukin-17C
KY21.Chr1.1044,KH.C1.224,KH.C1.224,Q9UMR3,T-box transcription factor TBX20
KY21.Chr1.1045,KH.C1.1084,KH.C1.1084,P10599,Thioredoxin
KY21.Chr1.1046,KH.C1.75,KH.C1.75,Q96EV2,RNA-binding protein 33
KY21.Chr1.1048,KH.C1.552,KH.C1.552,Q53HC0,Coiled-coil domain-containing protein 92
KY21.Chr1.1049,KH.C1.887,KH.C1.887,Q8N815,Cyclin N-terminal domain-containing protein 1 {ECO:0000305}
KY21.Chr1.105,KH.S1560.1,KH.S1560.1,A6NKG5,Retrotransposon-like protein 1
KY21.Chr1.1050,KH.C1.902,KH.C1.902,P21266,Glutathione S-transferase Mu 3
KY21.Chr1.1051,KH.C1.710,KH.C1.710,Q9NUQ9,CYFIP-related Rac1 interactor B {ECO:0000305}
KY21.Chr1.1052,KH.C1.117,KH.C1.117,Q969P5,F-box only protein 32
KY21.Chr1.1055,KH.C1.202,KH.C1.202,P49643,DNA primase large subunit
KY21.Chr1.1056,KH.C1.1278,KH.C1.1278,Q8WV22,Non-structural maintenance of chromosomes element 1 homolog
KY21.Chr1.1057,KH.C1.699,KH.C1.699,O75410,Transforming acidic coiled-coil-containing protein 1
KY21.Chr1.1058,KH.C1.488,KH.C1.488,P52747,Zinc finger protein 143
KY21.Chr1.1059,KH.C1.956,KH.C1.956,Q9UBW8,COP9 signalosome complex subunit 7a
KY21.Chr1.106,,,A6NKG5,Retrotransposon-like protein 1
KY21.Chr1.1060,KH.C1.1145,KH.C1.1145,Q8IZE3,Protein-associating with the carboxyl-terminal domain of ezrin
KY21.Chr1.1061,KH.C1.363,KH.C1.363,Q13838,Spliceosome RNA helicase DDX39B {ECO:0000305}
KY21.Chr1.1062,KH.C1.883,KH.C1.883,Q92845,Kinesin-associated protein 3
KY21.Chr1.1063,KH.C1.1016,KH.C1.1016,Q15406,Nuclear receptor subfamily 6 group A member 1
KY21.Chr1.1066,KH.C1.288,KH.C1.288,P83436,Conserved oligomeric Golgi complex subunit 7
KY21.Chr1.1067,KH.C1.225,KH.C1.225,P30531,Sodium- and chloride-dependent GABA transporter 1
KY21.Chr1.1068,KH.C1.1272,KH.C1.1272,Q9H5L6,DNA transposase THAP9
KY21.Chr1.1069,KH.L35.2,KH.L35.2,Q9P2P1,Protein NYNRIN
KY21.Chr1.107,KH.C1.1238,KH.C1.1238,Q9C0J8,pre-mRNA 3' end processing protein WDR33
KY21.Chr1.1071,KH.S1927.1,KH.S1927.1,P62917,Large ribosomal subunit protein uL2 {ECO:0000303|PubMed:24524803}
KY21.Chr1.1072,KH.L123.1,KH.L123.1,P62917,Large ribosomal subunit protein uL2 {ECO:0000303|PubMed:24524803}
KY21.Chr1.1073,KH.L123.3,KH.L123.3,A7E2V4,Zinc finger SWIM domain-containing protein 8 {ECO:0000305}
KY21.Chr1.1074,KH.L123.4,KH.L123.4,P12755,Ski oncogene
KY21.Chr1.1075,KH.L123.7,KH.L123.7,O60259,Kallikrein-8
KY21.Chr1.1077,KH.L123.6,KH.L123.6,Q7Z4L5,Tetratricopeptide repeat protein 21B {ECO:0000305}
KY21.Chr1.1078,KH.L123.8,KH.L123.8,P62993,Growth factor receptor-bound protein 2
KY21.Chr1.1079,,,P62993,Growth factor receptor-bound protein 2
KY21.Chr1.108,KH.C1.841,KH.C1.841,Q6P9G0,Cytochrome b5 domain-containing protein 1 {ECO:0000305}
KY21.Chr1.1080,KH.L84.33,KH.L84.33,Q16719,Kynureninase {ECO:0000255|HAMAP-Rule:MF_03017}
KY21.Chr1.1082,KH.S1557.1,KH.S1557.1,P62993,Growth factor receptor-bound protein 2
KY21.Chr1.1083,KH.L136.1,KH.L136.1,A6NKG5,Retrotransposon-like protein 1
KY21.Chr1.1084,,,Q16719,Kynureninase {ECO:0000255|HAMAP-Rule:MF_03017}
KY21.Chr1.1085,KH.L84.8,KH.L84.8,O75140,GATOR1 complex protein DEPDC5 {ECO:0000305}
KY21.Chr1.1086,KH.L84.10,KH.L84.10,P53794,Sodium/myo-inositol cotransporter {ECO:0000305}
KY21.Chr1.1088,KH.L84.15,KH.L84.15,Q9Y5M8,Signal recognition particle receptor subunit beta
KY21.Chr1.1089,KH.L84.27,KH.L84.27,Q96GG9,DCN1-like protein 1 {ECO:0000305}
KY21.Chr1.109,KH.C1.709,KH.C1.709,Q8TC29,Enkurin
KY21.Chr1.1091,KH.L84.16,KH.L84.16,P35354,Prostaglandin G/H synthase 2 {ECO:0000305}
KY21.Chr1.1092,KH.L84.20,KH.L84.20,O76082,Organic cation/carnitine transporter 2 {ECO:0000305}
KY21.Chr1.1093,KH.L84.2,KH.L84.2,Q15057,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"
KY21.Chr1.1094,,,Q9P2P1,Protein NYNRIN
KY21.Chr1.1095,KH.L84.31,KH.L84.31,Q9C0C7,Activating molecule in BECN1-regulated autophagy protein 1 {ECO:0000303|PubMed:17589504}
KY21.Chr1.1096,KH.L84.6,KH.L84.6,P35606,Coatomer subunit beta'
KY21.Chr1.1097,KH.L84.4,KH.L84.4,Q86X60,Protein FAM72B
KY21.Chr1.1098,KH.L84.29,KH.L84.29,O75426,F-box only protein 24
KY21.Chr1.11,KH.L60.12,KH.L60.12,Q14186,Transcription factor Dp-1
KY21.Chr1.110,KH.C1.165,KH.C1.165,Q15836,Vesicle-associated membrane protein 3
KY21.Chr1.1101,KH.L84.3,KH.L84.3,O00483,Cytochrome c oxidase subunit NDUFA4
KY21.Chr1.1103,KH.L84.25,KH.L84.25,Q8NHY2,E3 ubiquitin-protein ligase COP1 {ECO:0000305}
KY21.Chr1.1104,KH.L84.18,KH.L84.18,Q8IV48,3'-5' exoribonuclease 1
KY21.Chr1.1106,KH.S1906.2,KH.S1906.2,Q9NVV9,THAP domain-containing protein 1
KY21.Chr1.1107,KH.S1388.1,KH.S1388.1,Q99572,P2X purinoceptor 7
KY21.Chr1.1108,KH.L84.30,KH.L84.30,O43711,T-cell leukemia homeobox protein 3
KY21.Chr1.1109,KH.L84.21,KH.L84.21,O75161,Nephrocystin-4
KY21.Chr1.111,KH.C1.1034,KH.C1.1034,Q8TEZ7,Membrane progestin receptor beta {ECO:0000303|PubMed:23763432}
KY21.Chr1.1110,KH.L84.24,KH.L84.24,Q2M3R5,Solute carrier family 35 member G1
KY21.Chr1.1112,KH.L84.23,KH.L84.23,Q9UJP4,Kelch-like protein 21
KY21.Chr1.1115,KH.L84.13,KH.L84.13,Q8NFQ6,BPI fold-containing family C protein
KY21.Chr1.1116,KH.L84.12,KH.L84.12,Q8NFQ6,BPI fold-containing family C protein
KY21.Chr1.1117,KH.L84.7,KH.L84.7,Q8TD16,Protein bicaudal D homolog 2
KY21.Chr1.1119,KH.S714.2,KH.S714.2,Q08431,Lactadherin
KY21.Chr1.112,,,Q8WUK0,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 {ECO:0000305}
KY21.Chr1.1120,KH.S714.5,KH.S714.5,Q08431,Lactadherin
KY21.Chr1.1121,KH.S714.1,KH.S714.1,P33991,DNA replication licensing factor MCM4
KY21.Chr1.1122,KH.S714.3,KH.S714.3,Q9Y2I6,Ninein-like protein
KY21.Chr1.1123,,,Q9BYB4,Guanine nucleotide-binding protein subunit beta-like protein 1
KY21.Chr1.1124,KH.S1184.2,KH.S1184.2,Q9H0K6,Pseudouridylate synthase PUS7L {ECO:0000305}
KY21.Chr1.1126,KH.L61.2,KH.L61.2,Q9P2N4,A disintegrin and metalloproteinase with thrombospondin motifs 9
KY21.Chr1.1128,KH.L61.1,KH.L61.1,P13861,cAMP-dependent protein kinase type II-alpha regulatory subunit
KY21.Chr1.113,KH.C1.881,KH.C1.881,Q99828,Calcium and integrin-binding protein 1
KY21.Chr1.1130,KH.L61.14,KH.L61.14,P14625,Endoplasmin
KY21.Chr1.1131,KH.L61.15,KH.L61.15,Q5VZ52,MORN repeat-containing protein 5
KY21.Chr1.1132,,,Q9Y5R2,Matrix metalloproteinase-24
KY21.Chr1.1134,KH.L61.12,KH.L61.12,Q9HC24,Protein lifeguard 4
KY21.Chr1.1135,KH.L61.16,KH.L61.16,P35573,Glycogen debranching enzyme
KY21.Chr1.1136,KH.L61.9,KH.L61.9,Q6NYC1,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 {ECO:0000305}
KY21.Chr1.1137,KH.L61.8,KH.L61.8,Q6PIF2,Synaptonemal complex central element protein 2
KY21.Chr1.1138,KH.L61.11,KH.L61.11,Q9UIF3,Tektin-2
KY21.Chr1.1139,KH.L61.5,KH.L61.5,O75496,Geminin
KY21.Chr1.1140,KH.L61.13,KH.L61.13,Q9UK41,Vacuolar protein sorting-associated protein 28 homolog
KY21.Chr1.1141,KH.L61.3,KH.L61.3,Q92743,Serine protease HTRA1
KY21.Chr1.1142,KH.L61.17,KH.L61.17,P53634,Dipeptidyl peptidase 1
KY21.Chr1.1143,,,Q9BTX7,Alpha-tocopherol transfer protein-like
KY21.Chr1.1144,KH.C1.1130,KH.C1.1130,Q9NQ89,Ferry endosomal RAB5 effector complex subunit 3 {ECO:0000303|PubMed:37267905}
KY21.Chr1.1146,KH.C1.807,KH.C1.807,Q2YD98,UV-stimulated scaffold protein A
KY21.Chr1.1147,KH.C1.386,KH.C1.386,Q99828,Calcium and integrin-binding protein 1
KY21.Chr1.1148,KH.C1.1057,KH.C1.1057,Q9NQW7,Xaa-Pro aminopeptidase 1 {ECO:0000305}
KY21.Chr1.1149,KH.C1.427,KH.C1.427,Q02338,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial {ECO:0000305}"
KY21.Chr1.115,KH.C1.403,KH.C1.403,Q99877,Histone H2B type 1-N
KY21.Chr1.1150,KH.C1.336,KH.C1.336,O15066,Kinesin-like protein KIF3B
KY21.Chr1.1151,KH.C1.281,KH.C1.281,Q96NB3,Zinc finger protein 830 {ECO:0000312|HGNC:HGNC:28291}
KY21.Chr1.1152,KH.C1.833,KH.C1.833,Q5SXM8,DNL-type zinc finger protein
KY21.Chr1.1154,KH.C1.372,KH.C1.372,P14151,L-selectin
KY21.Chr1.1156,KH.C1.505,KH.C1.505,O14936,Peripheral plasma membrane protein CASK {ECO:0000305}
KY21.Chr1.1159,KH.C1.761,KH.C1.761,P13686,Tartrate-resistant acid phosphatase type 5
KY21.Chr1.116,KH.C1.962,KH.C1.962,Q9ULC3,Ras-related protein Rab-23
KY21.Chr1.1160,KH.C1.1205,KH.C1.1205,Q9UMR2,ATP-dependent RNA helicase DDX19B
KY21.Chr1.1162,KH.C1.741,KH.C1.741,Q96A65,Exocyst complex component 4
KY21.Chr1.1163,KH.C1.398,KH.C1.398,P23193,Transcription elongation factor A protein 1
KY21.Chr1.1165,KH.C1.302,KH.C1.302,P57727,Transmembrane protease serine 3
KY21.Chr1.1166,KH.C1.848,KH.C1.848,Q9GZU0,Uncharacterized protein C6orf62
KY21.Chr1.1167,KH.C1.1234,KH.C1.1234,Q86WQ0,Nuclear receptor 2C2-associated protein
KY21.Chr1.1168,KH.C1.982,KH.C1.982,Q96E11,"Ribosome-recycling factor, mitochondrial"
KY21.Chr1.1169,KH.C1.1133,KH.C1.1133,Q96Q83,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 {ECO:0000305}
KY21.Chr1.117,KH.C1.655,KH.C1.655,Q99728,BRCA1-associated RING domain protein 1
KY21.Chr1.1170,KH.C1.1217,KH.C1.1217,Q14160,Protein scribble homolog {ECO:0000305}
KY21.Chr1.1171,KH.C1.774,KH.C1.774,P57796,Calcium-binding protein 4
KY21.Chr1.1172,KH.C1.1008,KH.C1.1008,P55081,Microfibrillar-associated protein 1 {ECO:0000312|HGNC:HGNC:7032}
KY21.Chr1.1173,KH.C1.1059,KH.C1.1059,P51617,Interleukin-1 receptor-associated kinase 1 {ECO:0000303|PubMed:16024789}
KY21.Chr1.1174,KH.C1.1095,KH.C1.1095,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial"
KY21.Chr1.1175,KH.C1.328,KH.C1.328,Q86TS9,Large ribosomal subunit protein mL52 {ECO:0000303|PubMed:25278503}
KY21.Chr1.1176,KH.C1.35,KH.C1.35,P51149,Ras-related protein Rab-7a {ECO:0000305}
KY21.Chr1.1177,KH.C1.7,KH.C1.7,Q9Y4E8,Ubiquitin carboxyl-terminal hydrolase 15 {ECO:0000305}
KY21.Chr1.1179,KH.C1.37,KH.C1.37,Q9H3Y6,Tyrosine-protein kinase Srms
KY21.Chr1.118,KH.S2345.1,KH.S2345.1,Q96DL1,NXPE family member 2
KY21.Chr1.1180,KH.C1.643,KH.C1.643,Q96EY8,Corrinoid adenosyltransferase MMAB {ECO:0000305}
KY21.Chr1.1181,KH.C1.756,KH.C1.756,Q02978,Mitochondrial 2-oxoglutarate/malate carrier protein {ECO:0000303|PubMed:29431636}
KY21.Chr1.1182,,,Q92569,Phosphatidylinositol 3-kinase regulatory subunit gamma
KY21.Chr1.1184,,,Q147X3,N-alpha-acetyltransferase 30
KY21.Chr1.1187,KH.C1.931,KH.C1.931,Q4ZG55,Protein GREB1
KY21.Chr1.119,KH.L140.3,KH.L140.3,Q9HCF6,Transient receptor potential cation channel subfamily M member 3
KY21.Chr1.1190,KH.C1.652,KH.C1.652,Q9ULK0,"Glutamate receptor ionotropic, delta-1 {ECO:0000305}"
KY21.Chr1.1192,KH.C1.274,KH.C1.274,Q9UL68,Myelin transcription factor 1-like protein {ECO:0000303|Ref.1}
KY21.Chr1.1193,KH.C1.707,KH.C1.707,Q9H3R2,Mucin-13
KY21.Chr1.1199,KH.C1.711,KH.C1.711,Q8WV41,Sorting nexin-33
KY21.Chr1.12,KH.L60.4,KH.L60.4,Q96CN9,GRIP and coiled-coil domain-containing protein 1
KY21.Chr1.120,KH.L140.1,KH.L140.1,Q9HCF6,Transient receptor potential cation channel subfamily M member 3
KY21.Chr1.1200,KH.C1.1184,KH.C1.1184,Q9NPJ6,Mediator of RNA polymerase II transcription subunit 4
KY21.Chr1.1201,KH.C1.1058,KH.C1.1058,P52948,Nuclear pore complex protein Nup98-Nup96 {ECO:0000305}
KY21.Chr1.1202,KH.C1.1110,KH.C1.1110,Q93088,Betaine--homocysteine S-methyltransferase 1 {ECO:0000303|PubMed:8798461}
KY21.Chr1.1203,KH.C1.125,KH.C1.125,P34972,Cannabinoid receptor 2
KY21.Chr1.1205,KH.C1.316,KH.C1.316,Q8IYX7,Stabilizer of axonemal microtubules 1 {ECO:0000303|PubMed:25673876}
KY21.Chr1.1206,KH.C1.175,KH.C1.175,Q13241,Natural killer cells antigen CD94
KY21.Chr1.1207,KH.C1.638,KH.C1.638,B2RV13,Sperm axonemal maintenance protein CFAP97D1 {ECO:0000305}
KY21.Chr1.1208,KH.C1.467,KH.C1.467,P35372,Mu-type opioid receptor
KY21.Chr1.1209,KH.C1.53,KH.C1.53,P62699,Protein yippee-like 5
KY21.Chr1.1211,KH.C1.1265,KH.C1.1265,P41732,Tetraspanin-7
KY21.Chr1.1212,KH.C1.447,KH.C1.447,O00410,Importin-5
KY21.Chr1.1213,KH.C1.244,KH.C1.244,Q14031,Collagen alpha-6(IV) chain
KY21.Chr1.1215,KH.S655.2,KH.S655.2,Q14031,Collagen alpha-6(IV) chain
KY21.Chr1.1219,KH.S655.4,KH.S655.4,Q8N2F6,Armadillo repeat-containing protein 10
KY21.Chr1.122,KH.L140.11,KH.L140.11,P02511,Alpha-crystallin B chain
KY21.Chr1.1224,,,P23352,"Anosmin-1 {ECO:0000303|PubMed:8832397, ECO:0000312|HGNC:HGNC:6211}"
KY21.Chr1.1225,,,P23352,"Anosmin-1 {ECO:0000303|PubMed:8832397, ECO:0000312|HGNC:HGNC:6211}"
KY21.Chr1.1226,KH.C1.409,KH.C1.409,P22314,Ubiquitin-like modifier-activating enzyme 1
KY21.Chr1.1227,KH.C1.1280,KH.C1.1280,Q9NYQ6,Cadherin EGF LAG seven-pass G-type receptor 1
KY21.Chr1.1228,KH.C1.200,KH.C1.200,Q8TC76,Protein FAM110B
KY21.Chr1.1229,KH.C1.1244,KH.C1.1244,O00442,RNA 3'-terminal phosphate cyclase
KY21.Chr1.1231,KH.C1.1232,KH.C1.1232,Q92664,Transcription factor IIIA
KY21.Chr1.1232,KH.C1.675,KH.C1.675,Q9P013,Spliceosome-associated protein CWC15 homolog
KY21.Chr1.1233,KH.C1.1236,KH.C1.1236,Q7L523,Ras-related GTP-binding protein A {ECO:0000305}
KY21.Chr1.1234,,,Q9HB55,Cytochrome P450 3A43
KY21.Chr1.1235,KH.C1.362,KH.C1.362,Q15126,Phosphomevalonate kinase
KY21.Chr1.1236,KH.C1.194,KH.C1.194,Q9Y535,DNA-directed RNA polymerase III subunit RPC8
KY21.Chr1.1237,KH.C1.339,KH.C1.339,Q14644,Ras GTPase-activating protein 3
KY21.Chr1.1238,KH.C1.685,KH.C1.685,A6NLW8,Double homeobox protein A {ECO:0000305}
KY21.Chr1.1239,KH.C1.1076,KH.C1.1076,Q7RTS9,Dymeclin
KY21.Chr1.124,KH.C1.172,KH.C1.172,O00566,U3 small nucleolar ribonucleoprotein protein MPP10
KY21.Chr1.1241,KH.C1.179,KH.C1.179,Q9NUQ8,ATP-binding cassette sub-family F member 3
KY21.Chr1.1242,KH.C1.380,KH.C1.380,Q70JA7,Chondroitin sulfate synthase 3
KY21.Chr1.1243,KH.C1.808,KH.C1.808,P55344,Lens fiber membrane intrinsic protein
KY21.Chr1.1244,KH.C1.731,KH.C1.731,O95672,Endothelin-converting enzyme-like 1
KY21.Chr1.1245,KH.C1.54,KH.C1.54,P46531,Neurogenic locus notch homolog protein 1
KY21.Chr1.1248,KH.C1.13,KH.C1.13,Q9BZV2,Thiamine transporter 2
KY21.Chr1.1249,KH.C1.1060,KH.C1.1060,O60779,Thiamine transporter 1
KY21.Chr1.1250,KH.C1.651,KH.C1.651,A8MYJ7,Tetratricopeptide repeat protein 34
KY21.Chr1.1251,KH.C1.571,KH.C1.571,O60568,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3
KY21.Chr1.1254,,,P55344,Lens fiber membrane intrinsic protein
KY21.Chr1.1255,KH.C1.319,KH.C1.319,Q12913,Receptor-type tyrosine-protein phosphatase eta
KY21.Chr1.1257,KH.C1.1211,KH.C1.1211,P24043,Laminin subunit alpha-2
KY21.Chr1.126,KH.C1.183,KH.C1.183,Q8IZJ6,"Inactive L-threonine 3-dehydrogenase, mitochondrial"
KY21.Chr1.1262,KH.C1.1129,KH.C1.1129,P11926,Ornithine decarboxylase
KY21.Chr1.1263,KH.C1.775,KH.C1.775,Q9ULG1,Chromatin-remodeling ATPase INO80 {ECO:0000305}
KY21.Chr1.1265,,,Q9UJW2,Tubulointerstitial nephritis antigen
KY21.Chr1.1267,,,A6NMZ7,Collagen alpha-6(VI) chain
KY21.Chr1.1268,KH.C1.829,KH.C1.829,Q96P44,Collagen alpha-1(XXI) chain
KY21.Chr1.1270,KH.C1.229,KH.C1.229,P15086,Carboxypeptidase B
KY21.Chr1.1271,KH.C1.330,KH.C1.330,Q9HCP0,Casein kinase I isoform gamma-1
KY21.Chr1.1275,KH.C1.407,KH.C1.407,P26599,Polypyrimidine tract-binding protein 1
KY21.Chr1.1276,KH.C1.904,KH.C1.904,P49756,RNA-binding protein 25
KY21.Chr1.1277,KH.C1.76,KH.C1.76,Q96RW7,Hemicentin-1
KY21.Chr1.1278,KH.C1.926,KH.C1.926,Q96RW7,Hemicentin-1
KY21.Chr1.1279,KH.C1.1063,KH.C1.1063,P82251,"b(0,+)-type amino acid transporter 1"
KY21.Chr1.128,,,O00370,LINE-1 retrotransposable element ORF2 protein
KY21.Chr1.1281,,,Q5TDH0,Protein DDI1 homolog 2 {ECO:0000305}
KY21.Chr1.1283,KH.C1.31,KH.C1.31,Q96B67,Arrestin domain-containing protein 3
KY21.Chr1.1284,,,P82251,"b(0,+)-type amino acid transporter 1"
KY21.Chr1.1285,,,P82251,"b(0,+)-type amino acid transporter 1"
KY21.Chr1.1287,KH.C1.1231,KH.C1.1231,Q8IWJ2,GRIP and coiled-coil domain-containing protein 2
KY21.Chr1.1288,KH.C1.491,KH.C1.491,P40818,Ubiquitin carboxyl-terminal hydrolase 8 {ECO:0000305}
KY21.Chr1.1289,KH.C1.385,KH.C1.385,Q9HCI7,E3 ubiquitin-protein ligase MSL2 {ECO:0000305}
KY21.Chr1.129,KH.C1.526,KH.C1.526,Q13099,Intraflagellar transport protein 88 homolog
KY21.Chr1.1290,KH.C1.209,KH.C1.209,P82650,Small ribosomal subunit protein mS22 {ECO:0000303|PubMed:25838379}
KY21.Chr1.1291,KH.C1.694,KH.C1.694,Q6UWV6,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7
KY21.Chr1.1293,KH.C1.978,KH.C1.978,P01137,Transforming growth factor beta-1 proprotein
KY21.Chr1.1295,KH.C1.932,KH.C1.932,Q9BYX4,Interferon-induced helicase C domain-containing protein 1 {ECO:0000305}
KY21.Chr1.1296,KH.C1.1172,KH.C1.1172,Q9NWM3,CUE domain-containing protein 1
KY21.Chr1.1297,KH.C1.212,KH.C1.212,Q2PZI1,Protein C-mannosyl-transferase DPY19L1
KY21.Chr1.1298,KH.C1.279,KH.C1.279,P23142,Fibulin-1
KY21.Chr1.13,,,A8MUX0,Keratin-associated protein 16-1
KY21.Chr1.130,KH.C1.1180,KH.C1.1180,Q9Y6D5,Brefeldin A-inhibited guanine nucleotide-exchange protein 2
KY21.Chr1.1300,KH.C1.1178,KH.C1.1178,Q96SK2,Transmembrane protein 209
KY21.Chr1.1301,KH.C1.413,KH.C1.413,P29144,Tripeptidyl-peptidase 2
KY21.Chr1.1302,KH.C1.480,KH.C1.480,Q8NEA4,F-box only protein 36
KY21.Chr1.1303,KH.C1.822,KH.C1.822,Q14135,Transcription cofactor vestigial-like protein 4 {ECO:0000312|HGNC:HGNC:28966}
KY21.Chr1.1306,KH.C1.721,KH.C1.721,Q8N0U4,Protein FAM185A
KY21.Chr1.1307,KH.C1.762,KH.C1.762,O43504,Ragulator complex protein LAMTOR5
KY21.Chr1.1308,KH.C1.1031,KH.C1.1031,Q9UBK9,Protein UXT
KY21.Chr1.1309,KH.C1.679,KH.C1.679,Q9BQ48,Large ribosomal subunit protein bL34m {ECO:0000303|PubMed:25278503}
KY21.Chr1.131,,,Q14973,Hepatic sodium/bile acid cotransporter
KY21.Chr1.1310,KH.C1.861,KH.C1.861,P25788,Proteasome subunit alpha type-3 {ECO:0000305}
KY21.Chr1.1311,KH.C1.236,KH.C1.236,Q9NNX6,CD209 antigen
KY21.Chr1.1312,KH.C1.768,KH.C1.768,O43639,Cytoplasmic protein NCK2
KY21.Chr1.1314,KH.C1.456,KH.C1.456,O14757,Serine/threonine-protein kinase Chk1
KY21.Chr1.1316,KH.C1.976,KH.C1.976,O60243,Heparan-sulfate 6-O-sulfotransferase 1 {ECO:0000305}
KY21.Chr1.132,KH.C1.907,KH.C1.907,Q14973,Hepatic sodium/bile acid cotransporter
KY21.Chr1.1320,KH.C1.153,KH.C1.153,Q86V86,Serine/threonine-protein kinase pim-3
